#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ ; Function Name ; File Name ; Line number
132621000 ; 4.56089 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
132715000 ; 4.61933 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
132808000 ; 4.65464 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
132902000 ; 4.61689 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
132995000 ; 4.58889 ; 3.29964 ; 0 ; 0 ; Unknown ; Unknown ; -1
133085000 ; 4.60959 ; 3.30002 ; 0 ; 0 ; Unknown ; Unknown ; -1
133171000 ; 4.61933 ; 3.29933 ; 0 ; 0 ; Unknown ; Unknown ; -1
133264000 ; 4.63029 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
133357000 ; 4.61202 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
133443000 ; 4.6035 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
133538000 ; 4.67168 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
133624000 ; 4.61324 ; 3.30116 ; 0 ; 0 ; Unknown ; Unknown ; -1
133718000 ; 4.58646 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
133803000 ; 4.65342 ; 3.30338 ; 0 ; 0 ; Unknown ; Unknown ; -1
133894000 ; 0.00296822 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
133986000 ; 0.00109902 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
134079000 ; 0.00115243 ; 3.29971 ; 0 ; 0 ; Unknown ; Unknown ; -1
134172000 ; 0.00152627 ; 3.29948 ; 0 ; 0 ; Unknown ; Unknown ; -1
134266000 ; 0.00113336 ; 3.29994 ; 0 ; 0 ; Unknown ; Unknown ; -1
134353000 ; 0.00154153 ; 3.29956 ; 0 ; 0 ; Unknown ; Unknown ; -1
134440000 ; 0.00154916 ; 3.29979 ; 0 ; 0 ; Unknown ; Unknown ; -1
134527000 ; 0.00170556 ; 3.29941 ; 0 ; 0 ; Unknown ; Unknown ; -1
